DC,TC,MC,PH
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0745,1
0.0000,0.1706,-0.0745,1
0.0000,0.1501,-0.0578,1
0.0000,0.1501,-0.0578,1
0.0000,0.1501,-0.0578,1
0.0000,0.1501,-0.0578,1
0.0109,0.1861,-0.0410,1
0.0116,0.1861,-0.0410,1
0.0000,0.1861,-0.0578,1
0.0000,0.1861,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1506,-0.0578,1
0.0000,0.1506,-0.0578,1
0.0000,0.1506,-0.0745,1
0.0000,0.1506,-0.0745,1
0.0000,0.1861,-0.0578,1
0.0000,0.1861,-0.0578,1
0.0000,0.1861,-0.0578,1
0.0000,0.1861,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1706,-0.0578,1
0.0000,0.1501,-0.0410,1
0.0000,0.1501,-0.0410,1
0.0000,0.1501,-0.0410,1
0.0000,0.1501,-0.0410,1
0.0000,0.1871,-0.0578,1
0.0000,0.1871,-0.0578,1
0.0279,0.1871,-0.0410,1
0.0287,0.1871,-0.0410,1
0.0000,0.1501,-0.0410,1
0.0000,0.1501,-0.0410,1
0.0000,0.1501,-0.0242,1
0.0000,0.1501,-0.0242,1
0.0000,0.1702,-0.0410,1
0.0000,0.1702,-0.0410,1
0.0000,0.1702,-0.0410,1
0.0000,0.1702,-0.0410,1
0.0000,0.1867,-0.0578,1
0.0003,0.1867,-0.0578,1
0.0010,0.1867,-0.0578,1
0.0016,0.1867,-0.0578,1
0.0000,0.1507,-0.0578,1
0.0000,0.1507,-0.0578,1
0.0000,0.1507,-0.0578,1
0.0000,0.1507,-0.0578,1
0.0047,0.1702,-0.0410,1
0.0054,0.1702,-0.0410,1
0.0397,0.1702,-0.0242,1
0.0404,0.1702,-0.0242,1
0.0406,0.1867,-0.0410,1
0.0413,0.1867,-0.0410,1
0.0083,0.1867,-0.0578,1
0.0090,0.1867,-0.0578,1
0.0000,0.1502,-0.0410,1
0.0000,0.1502,-0.0410,1
0.0000,0.1502,-0.0410,1
0.0000,0.1502,-0.0410,1
0.0445,0.1862,-0.0410,1
0.0452,0.1862,-0.0410,1
0.0460,0.1862,-0.0410,1
0.0467,0.1862,-0.0410,1
0.0000,0.1707,-0.0578,1
0.0000,0.1707,-0.0578,1
0.0511,0.1707,-0.0242,1
0.0519,0.1707,-0.0242,1
0.0000,0.1507,-0.0410,1
0.0000,0.1507,-0.0410,1
0.0000,0.1507,-0.0410,1
0.0000,0.1507,-0.0410,1
0.0201,0.1702,-0.0410,1
0.0208,0.1702,-0.0410,1
0.0214,0.1702,-0.0410,1
0.0221,0.1702,-0.0410,1
0.0558,0.1867,-0.0410,1
0.0565,0.1867,-0.0410,1
0.0909,0.1867,-0.0242,1
0.0917,0.1867,-0.0242,1
0.0000,0.1502,-0.0410,1
0.0000,0.1502,-0.0410,1
0.0205,0.1502,-0.0242,1
0.0211,0.1502,-0.0242,1
0.0618,0.1702,-0.0242,1
0.0626,0.1702,-0.0242,1
0.0296,0.1702,-0.0410,1
0.0303,0.1702,-0.0410,1
0.0640,0.1867,-0.0410,1
0.0648,0.1867,-0.0410,1
0.0991,0.1867,-0.0242,1
0.1000,0.1867,-0.0242,1
0.0000,0.1502,-0.0578,1
0.0000,0.1502,-0.0578,1
0.0000,0.1502,-0.0410,1
0.0000,0.1502,-0.0410,1
0.0361,0.1702,-0.0410,1
0.0367,0.1702,-0.0410,1
0.0710,0.1702,-0.0242,1
0.0717,0.1702,-0.0242,1
0.0729,0.1872,-0.0410,1
0.0736,0.1872,-0.0410,1
0.1080,0.1872,-0.0242,1
0.1088,0.1872,-0.0242,1
0.0355,0.1502,-0.0242,1
0.0361,0.1502,-0.0242,1
0.0367,0.1502,-0.0242,1
0.0374,0.1502,-0.0242,1
0.0429,0.1862,-0.0578,1
0.0435,0.1862,-0.0578,1
0.0441,0.1862,-0.0578,1
0.0448,0.1862,-0.0578,1
0.0480,0.1707,-0.0410,1
0.0487,0.1707,-0.0410,1
0.0493,0.1707,-0.0410,1
0.0500,0.1707,-0.0410,1
0.0432,0.1502,-0.0242,1
0.0438,0.1502,-0.0242,1
0.0108,0.1502,-0.0410,1
0.0113,0.1502,-0.0410,1
0.0856,0.1702,-0.0242,1
0.0864,0.1702,-0.0242,1
0.0534,0.1702,-0.0410,1
0.0541,0.1702,-0.0410,1
0.0552,0.1872,-0.0578,1
0.0558,0.1872,-0.0578,1
0.0565,0.1872,-0.0578,1
0.0571,0.1872,-0.0578,1
0.0000,0.1502,-0.0578,1
0.0000,0.1502,-0.0578,1
0.0000,0.1502,-0.0578,1
0.0000,0.1502,-0.0578,1
0.0255,0.1702,-0.0578,1
0.0261,0.1702,-0.0578,1
0.0267,0.1702,-0.0578,1
0.0272,0.1702,-0.0578,1
0.0609,0.1868,-0.0578,1
0.0615,0.1868,-0.0578,1
0.0958,0.1868,-0.0410,1
0.0966,0.1868,-0.0410,1
0.0241,0.1503,-0.0410,1
0.0247,0.1503,-0.0410,1
0.0589,0.1503,-0.0242,1
0.0595,0.1503,-0.0242,1
0.0987,0.1863,-0.0410,1
0.0994,0.1863,-0.0410,1
0.0665,0.1863,-0.0578,1
0.0671,0.1863,-0.0578,1
0.0367,0.1708,-0.0578,1
0.0372,0.1708,-0.0578,1
0.0378,0.1708,-0.0578,1
0.0384,0.1708,-0.0578,1
0.0325,0.1508,-0.0410,1
0.0330,0.1508,-0.0410,1
0.0000,0.1508,-0.0578,1
0.0004,0.1508,-0.0578,1
0.1073,0.1703,-0.0242,1
0.1080,0.1703,-0.0242,1
0.0751,0.1703,-0.0410,1
0.0757,0.1703,-0.0410,1
0.1095,0.1868,-0.0410,1
0.1102,0.1868,-0.0410,1
0.1109,0.1868,-0.0410,1
0.1117,0.1868,-0.0410,1
0.0729,0.1503,-0.0242,1
0.0735,0.1503,-0.0242,1
0.0741,0.1503,-0.0242,1
0.0748,0.1503,-0.0242,1
0.1155,0.1703,-0.0242,1
0.1162,0.1703,-0.0242,1
0.0833,0.1703,-0.0410,1
0.0840,0.1703,-0.0410,1
0.1514,0.1868,-0.0242,1
0.1522,0.1868,-0.0242,1
0.1530,0.1868,-0.0242,1
0.1538,0.1868,-0.0242,1
0.0814,0.1503,-0.0242,1
0.0821,0.1503,-0.0242,1
0.1164,0.1503,-0.0074,1
0.1171,0.1503,-0.0074,1
0.1920,0.1873,-0.0074,1
0.1929,0.1873,-0.0074,1
0.1601,0.1873,-0.0242,1
0.1609,0.1873,-0.0242,1
0.1623,0.1708,-0.0074,1
0.1632,0.1708,-0.0074,1
0.0966,0.1708,-0.0410,1
0.0973,0.1708,-0.0410,1
0.0905,0.1503,-0.0242,1
0.0911,0.1503,-0.0242,1
0.0918,0.1503,-0.0242,1
0.0924,0.1503,-0.0242,1
0.1316,0.1863,-0.0410,1
0.1323,0.1863,-0.0410,1
0.1330,0.1863,-0.0410,1
0.1337,0.1863,-0.0410,1
0.1371,0.1708,-0.0242,1
0.1378,0.1708,-0.0242,1
0.1049,0.1708,-0.0410,1
0.1055,0.1708,-0.0410,1
0.0997,0.1508,-0.0242,1
0.1004,0.1508,-0.0242,1
0.1347,0.1508,-0.0074,1
0.1354,0.1508,-0.0074,1
0.2073,0.1863,-0.0074,1
0.2082,0.1863,-0.0074,1
0.2091,0.1863,-0.0074,2
0.2100,0.1863,-0.0074,2
0.1481,0.1718,-0.0242,2
0.1489,0.1718,-0.0242,2
0.0000,0.1718,1.3693,2
0.0000,0.1718,1.3693,2
0.0000,0.1658,0.4459,2
0.0000,0.1658,0.4459,2
0.1308,0.1658,0.0262,2
0.1315,0.1658,0.0262,2
0.1789,0.1703,-0.0074,2
0.1797,0.1703,-0.0074,2
0.1805,0.1703,-0.0074,2
0.1813,0.1703,-0.0074,2
0.0000,0.1703,0.3955,2
0.0000,0.1703,0.3955,2
0.0000,0.1703,0.2780,2
0.0000,0.1703,0.2780,2
0.0000,0.1503,0.1773,2
0.0000,0.1503,0.1773,2
0.0000,0.1503,0.1101,2
0.0000,0.1503,0.1101,2
0.0719,0.1693,0.0598,2
0.0725,0.1693,0.0598,2
0.1740,0.1693,0.0094,2
0.1748,0.1693,0.0094,2
0.1807,0.1698,-0.0074,2
0.1815,0.1698,-0.0074,2
0.1783,0.1698,0.0094,2
0.1791,0.1698,0.0094,2
0.0000,0.1854,0.3955,2
0.0000,0.1854,0.3955,2
0.0000,0.1854,0.2612,2
0.0000,0.1854,0.2612,2
0.0000,0.1704,0.1605,2
0.0000,0.1704,0.1605,2
0.0000,0.1704,0.1101,2
0.0000,0.1704,0.1101,2
0.0777,0.1704,0.0598,2
0.0783,0.1704,0.0598,2
0.1462,0.1704,0.0262,2
0.1469,0.1704,0.0262,2
0.1402,0.1499,0.0094,2
0.1409,0.1499,0.0094,2
0.1456,0.1499,-0.0074,2
0.1463,0.1499,-0.0074,2
0.1831,0.1699,0.0094,2
0.1839,0.1699,0.0094,2
0.1888,0.1699,-0.0074,2
0.1896,0.1699,-0.0074,2
0.0000,0.1694,0.4123,2
0.0000,0.1694,0.4123,2
0.0000,0.1694,0.2780,2
0.0000,0.1694,0.2780,2
0.0000,0.1859,0.1773,2
0.0000,0.1859,0.1773,2
0.0130,0.1859,0.1101,2
0.0134,0.1859,0.1101,2
0.0837,0.1704,0.0598,2
0.0843,0.1704,0.0598,2
0.1858,0.1704,0.0094,2
0.1866,0.1704,0.0094,2
0.1874,0.1704,0.0094,2
0.1882,0.1704,0.0094,2
0.1554,0.1704,0.0262,2
0.1561,0.1704,0.0262,2
0.0000,0.1499,0.4123,2
0.0000,0.1499,0.4123,2
0.0000,0.1499,0.2612,2
0.0000,0.1499,0.2612,2
0.0000,0.1699,0.1605,2
0.0000,0.1699,0.1605,2
0.0000,0.1699,0.1101,2
0.0000,0.1699,0.1101,2
0.1165,0.1854,0.0598,2
0.1172,0.1854,0.0598,2
0.1851,0.1854,0.0262,2
0.1859,0.1854,0.0262,2
0.1933,0.1699,-0.0074,2
0.1942,0.1699,-0.0074,2
0.1950,0.1699,-0.0074,2
0.1958,0.1699,-0.0074,2
0.1976,0.1704,-0.0074,2
0.1984,0.1704,-0.0074,2
0.0000,0.1704,0.4123,2
0.0000,0.1704,0.4123,2
0.0000,0.1704,0.2612,2
0.0000,0.1704,0.2612,2
0.0000,0.1704,0.1773,2
0.0000,0.1704,0.1773,2
0.0000,0.1499,0.0933,2
0.0000,0.1499,0.0933,2
0.0840,0.1499,0.0430,2
0.0845,0.1499,0.0430,2
0.1598,0.1704,0.0262,2
0.1605,0.1704,0.0262,2
0.1949,0.1704,0.0094,2
0.1957,0.1704,0.0094,2
0.2306,0.1854,-0.0074,2
0.2315,0.1854,-0.0074,2
0.2284,0.1854,0.0094,2
0.2293,0.1854,0.0094,2
0.0000,0.1704,0.4123,2
0.0000,0.1704,0.4123,2
0.0000,0.1704,0.6810,2
0.0000,0.1704,0.6810,2
0.0000,0.1704,0.4459,2
0.0000,0.1704,0.4459,2
0.0000,0.1704,0.2948,2
0.0000,0.1704,0.2948,2
0.0000,0.1499,0.1773,2
0.0000,0.1499,0.1773,2
0.0000,0.1499,0.0933,2
0.0000,0.1499,0.0933,2
0.1256,0.1699,0.0430,2
0.1263,0.1699,0.0430,2
0.1942,0.1699,0.0094,2
0.1950,0.1699,0.0094,2
0.2320,0.1859,-0.0074,2
0.2329,0.1859,-0.0074,2
0.2297,0.1859,0.0094,2
0.2306,0.1859,0.0094,2
0.1994,0.1699,0.0094,2
0.2002,0.1699,0.0094,2
0.0000,0.1699,0.4123,2
0.0000,0.1699,0.4123,2
0.0000,0.1705,0.2612,2
0.0000,0.1705,0.2612,2
0.0000,0.1705,0.1773,2
0.0000,0.1705,0.1773,2
0.0000,0.1505,0.0933,2
0.0000,0.1505,0.0933,2
0.0581,0.1505,0.0598,2
0.0586,0.1505,0.0598,2
0.1655,0.1700,0.0262,2
0.1662,0.1700,0.0262,2
0.2006,0.1700,0.0094,2
0.2014,0.1700,0.0094,2
0.2012,0.1695,0.0094,2
0.2020,0.1695,0.0094,2
0.2068,0.1695,-0.0074,2
0.2076,0.1695,-0.0074,2
0.0000,0.1860,0.4123,2
0.0000,0.1860,0.4123,2
0.0000,0.1860,0.2444,2
0.0000,0.1860,0.2444,2
0.0000,0.1700,0.1605,2
0.0000,0.1700,0.1605,2
0.0343,0.1700,0.0933,2
0.0347,0.1700,0.0933,2
0.1034,0.1705,0.0598,2
0.1040,0.1705,0.0598,2
0.1719,0.1705,0.0262,2
0.1726,0.1705,0.0262,2
0.1659,0.1500,0.0094,2
0.1666,0.1500,0.0094,2
0.1713,0.1500,-0.0074,2
0.1720,0.1500,-0.0074,3
0.0000,0.1700,-0.1249,3
0.0000,0.1700,-0.1249,3
0.0000,0.1700,1.1510,3
0.0000,0.1700,1.1510,3
0.0000,0.0000,0.7313,3
0.0000,0.0000,0.7313,3
0.0000,0.0000,0.4627,3
0.0000,0.0000,0.4627,3
0.0000,0.0000,0.2780,3
0.0000,0.0000,0.2780,3
0.0000,0.0000,0.1437,3
0.0000,0.0000,0.1437,3
0.0000,0.0000,0.0598,3
0.0000,0.0000,0.0598,3
0.0000,0.0000,0.0262,3
0.0000,0.0000,0.0262,3
0.0000,0.0000,-0.0242,3
0.0000,0.0000,-0.0242,3
0.0000,0.0000,-0.0745,3
0.0000,0.0000,-0.0745,3
0.0000,0.0000,-0.0913,3
0.0000,0.0000,-0.0913,3
0.0000,0.0000,-0.1249,3
0.0000,0.0000,-0.1249,3
0.0000,0.0000,-0.1249,3
0.0000,0.0000,-0.1249,3
0.0000,0.0000,-0.1249,3
0.0000,0.0000,-0.1249,3
0.0000,0.0000,-0.1417,3
0.0000,0.0000,-0.1417,3
0.0000,0.0000,-0.1249,3
0.0000,0.0000,-0.1249,3
0.0000,0.0000,-0.1417,3
0.0000,0.0000,-0.1417,3
0.0000,0.0000,-0.1417,3
0.0000,0.0000,-0.1417,3
0.0000,0.0000,-0.1417,3
0.0000,0.0000,-0.1417,3
0.0000,0.0000,-0.1417,3
0.0000,0.0000,-0.1417,3
0.0000,0.0000,-0.1585,3
0.0000,0.0000,-0.1585,3
0.0000,0.0000,-0.1585,3
0.0000,0.0000,-0.1585,3
0.0000,0.0000,-0.1585,3
